Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
22960,11001.0,44.0,44854.0,21728.0,1631.0,14.825924915916735
22967,1821.0,45.9,41786.0,20256.0,356.0,19.549697968149367
22973,6792.0,42.6,51464.0,25414.0,756.0,11.130742049469964
22976,197.0,24.9,24904.0,9108.0,34.0,17.258883248730964
22206,20460.0,33.9,98985.0,59986.0,1424.0,6.959921798631476
22509,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
22301,11723.0,35.8,119443.0,63555.0,675.0,5.757911797321505
22485,23325.0,37.0,82256.0,34680.0,1668.0,7.15112540192926
22654,1043.0,39.3,94160.0,37441.0,31.0,2.972195589645254
22469,1639.0,47.6,37820.0,18099.0,447.0,27.272727272727273
22646,246.0,52.3,64097.0,58442.0,8.0,3.252032520325203
22580,5249.0,39.2,49740.0,23787.0,718.0,13.678795961135455
22729,1304.0,36.9,-666666666.0,3889.0,3.0,0.23006134969325154
22847,978.0,38.5,63438.0,22996.0,62.0,6.339468302658487
22969,1234.0,41.8,54811.0,21326.0,121.0,9.805510534846029
22747,1037.0,48.5,50069.0,37723.0,162.0,15.62198649951784
22436,881.0,39.6,50068.0,20684.0,67.0,7.604994324631101
22192,54216.0,35.8,98169.0,42064.0,2297.0,4.236756676995721
22610,1635.0,47.1,52118.0,26796.0,103.0,6.299694189602446
22025,16955.0,40.0,115000.0,48008.0,527.0,3.108227661456797
22035,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
22185,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
22214,120.0,23.5,-666666666.0,30400.0,0.0,0.0
22530,103.0,71.0,48224.0,32078.0,0.0,0.0
22551,17929.0,42.3,68313.0,28954.0,1720.0,9.593396173796643
22556,25485.0,35.3,101463.0,38038.0,1168.0,4.583088091033941
22623,545.0,46.3,57404.0,34161.0,8.0,1.4678899082568808
22807,2449.0,19.2,-666666666.0,2027.0,0.0,0.0
22904,5019.0,19.6,63375.0,2356.0,29.0,0.5778043434947201
22964,111.0,71.2,51667.0,23768.0,13.0,11.711711711711711
22712,8053.0,34.1,76013.0,27189.0,292.0,3.625977896436111
22714,1237.0,37.9,70625.0,24969.0,212.0,17.13823767178658
22443,8134.0,47.4,49091.0,25096.0,797.0,9.79837718219818
22454,1887.0,43.2,41859.0,22859.0,105.0,5.5643879173290935
